0.02,8.88,-4.85277,9.406,0,1.14,359.09
0.04,9.86,-4.71388,11.0903,0,1.19,359.95
0.06,9.81,-4.40128,10.3129,-16,1.3,1.83
0.08,9.7,-4.31463,9.85945,16,1.29,2.22
0.1,11.71,-3.92906,11.5437,0,1.29,3.88
0.12,13.71,-3.842,12.3859,0,1.28,4.03
0.14,7.72,-3.5692,7.85129,0,1.27,2.93
0.16,9.73,-3.51738,8.62864,-16,1.25,2.8
0.18,10.75,-3.19358,10.0538,16,1.21,3.65
0.2,16.79,-3.07377,19.1229,0,1.21,3.72
0.22,15.79,-2.54931,17.8921,-48,1.2,1.51
0.24,13.8,-2.40876,13.2928,0,1.19,1.15
0.26,15.81,-1.91872,16.6613,-16,1.24,3.35
0.28,13.76,-1.78812,16.1431,-16,1.27,3.78
0.3,16.73,-1.48257,15.2362,0,1.27,3.37
0.32,14.73,-1.04725,14.6531,-16,1.27,2.74
0.34,9.73,-0.907951,7.59217,0,1.27,3.1
0.36,13.73,-0.55555,12.2563,-32,0.28,338.29
0.38,16.72,-0.412516,17.3739,0,0.12,252.97
0.4,16.88,0.0957701,16.0135,32,0.42,37.9
0.42,17.58,0.255387,18.9934,-16,0.38,32.74
0.44,16.62,0.759942,16.8556,16,1.6,3.27
0.46,15.4,0.891367,14.5236,16,1.73,2.79
0.48,8.27,1.14551,5.2601,16,3.27,2.12
0.5,11.73,1.19733,9.406,16,3.89,1.23
0.52,13.11,1.62726,13.228,16,3.66,1.9
0.54,5.34,1.71184,7.91607,16,3.1,2.91
0.56,9.9,1.97842,8.1104,16,6.87,359.01
0.58,10.13,2.02859,7.98085,16,7.15,359.52
0.6,5.85,2.21847,4.80665,32,4.73,3.95
0.62,8.27,2.27319,8.17518,48,5.63,2.26
0.64,5.37,2.44815,4.48275,0,6.48,1.57
0.66,11.52,2.4921,9.0821,32,6.04,2.89
0.68,8.96,2.79889,8.49908,16,9.21,1.64
0.7,3.79,2.85694,6.29658,16,8.71,1.52
0.72,5.29,3.0037,3.25194,32,10,0.79
0.74,4,3.0294,2.21546,32,10.58,0.97
0.76,2.42,3.05428,0.401633,48,10.41,1.55
0.78,5.59,3.23338,5.584,16,10.85,359.44
0.8,-1.85,3.25743,-0.246162,16,10.69,359.03
0.82,3.31,3.26406,1.50289,48,8.99,358.78
0.84,7.01,3.41083,7.33305,32,11.6,359.11
0.86,3.4,3.47467,6.36136,32,10.64,359.23
0.88,2.36,3.54723,2.28024,48,8.03,359.96
0.9,3.97,3.61605,3.0576,64,12.38,358.69
0.92,1.62,3.63595,2.4098,64,11.88,358.58
0.94,0.12,3.64839,-0.116603,64,10.69,3.22
0.96,5.31,3.65295,1.69723,64,11.64,2.89
0.98,0.36,3.69731,1.17899,80,9.73,2.83
1,1.27,3.70767,2.15068,96,9.57,3.09
1.02,7.43,3.91953,7.20349,32,11.91,1.95
1.04,0.0900002,3.9755,3.96451,80,10.91,2.17
1.06,-1.91,3.98669,0.272074,32,12.4,2.35
1.08,4.6,3.98794,0.336854,64,13.25,2.6
1.1,1.75,3.98835,0.207295,32,13.6,0.63
1.12,1.4,3.99332,0.336854,32,12.72,1.07
1.14,5.28,3.99789,2.21546,64,13.56,1.22
1.16,2.44,4.06878,3.44627,32,13.64,0.14
1.18,-3.64,4.08536,0.142515,16,12.17,359.09
1.2,5.83,4.08744,0.401633,16,13.11,359.48
1.22,-1.11,4.08827,0.207295,0,14.08,359.56
1.24,1.92,4.08992,0.207295,0,12.26,358.97
1.26,-2.26,4.08992,0.207295,16,13,359.19
1.28,-2,4.08951,0.142515,32,13.95,358.96
1.3,-1.95,4.08536,0.0129559,0,12.98,359.39
1.32,1.02,4.08163,0.336854,32,13.55,359.69
1.34,2.45,4.08246,0.725531,32,14.09,359.68
1.36,-5.09,3.98545,-4.71595,0,13.38,359.98
1.38,-2.38,3.96265,-3.80904,0,13.85,0.11
1.4,1.15,3.94689,0.142515,0,12.42,1.18
1.42,-3.42,3.94523,-1.02352,-48,11.97,1.03
1.44,4.03,3.95311,2.15068,0,13.57,358.88
1.46,-1.57,3.96057,-0.0518237,48,13.25,358.98
1.48,2.75,3.9643,1.11421,64,11.85,0.23
1.5,-1.85,3.96721,0.207295,-32,13.14,358.97
1.52,3.86,3.96803,0.272074,16,12.86,359.02
1.54,0.14,3.96969,-0.310942,48,11.89,359.64
1.56,4.11,4.01654,3.89973,48,13.11,0.32
1.58,1.89,4.04432,4.61231,0,12.78,0.64
1.6,4.22,4.17243,3.44627,32,12.46,0.37
1.62,5.54,4.1915,3.77017,64,12.78,0.33
1.64,2.22,4.25825,1.69723,32,12.48,1.27
1.66,-0.48,4.26903,0.401633,32,12.49,1.54
1.68,5.51,4.39879,6.2318,64,13.18,0.08
1.7,1.82,4.44233,4.80665,32,12.69,0
1.72,5.31,4.59531,4.02929,32,12.82,0.4
1.74,3.18,4.61894,2.0859,32,13.37,0.44
1.76,0.63,4.64382,0.401633,64,12.53,359.71
1.78,2.47,4.64464,0.336854,80,12.78,359.8
1.8,-3.78,4.64589,0.207295,16,13.98,0.16
1.82,0.0200005,4.6463,0.207295,32,13.11,359.86
1.84,-2.11,4.6463,0.207295,16,13.27,0.08
1.86,2.73,4.66579,2.53936,64,14.41,0.67
1.88,0.59,4.67657,0.401633,64,14.24,0.52
1.9,0.76,4.67781,-0.310942,48,14.1,0.52
1.92,-2.1,4.67781,0.207295,32,14.48,0.68
