Controller PID ,  0.1,0.05,0,dts 
0.76 , 20 , 17.09 , 0 , 8.5 , 0.0507891 , -0.443934 , -0.443934 , 0.887868 , -1.17669 , -1.0734 , 2.3879
0.78 , 20 , 17.19 , 0 , 8.55 , 0.0490437 , -0.432964 , -0.432964 , 0.865928 , -1.19165 , -1.08593 , 2.41218
0.8 , 20 , 18.23 , 0 , 4.91 , 0.0308923 , -0.312487 , -0.312487 , 0.624975 , -1.19932 , -1.09334 , 2.42343
0.82 , 20 , 18.28 , 0 , 4.76 , 0.0300197 , -0.307075 , -0.307075 , 0.614151 , -1.20328 , -1.10229 , 2.43302
0.84 , 20 , 18.39 , 0 , 4.57 , 0.0280998 , -0.294664 , -0.294664 , 0.589328 , -1.21082 , -1.11188 , 2.44747
0.86 , 20 , 18.57 , 0 , 2.66 , 0.0249582 , -0.274074 , -0.274074 , 0.548147 , -1.21683 , -1.11572 , 2.45156
0.88 , 20 , 18.57 , 0 , 2.57 , 0.0249582 , -0.274407 , -0.274407 , 0.548813 , -1.22476 , -1.12441 , 2.46114
0.9 , 20 , 18.6 , 0 , 2.53 , 0.0244346 , -0.271245 , -0.271245 , 0.54249 , -1.23383 , -1.1331 , 2.47661
0.92 , 20 , 18.75 , 0 , 3.61 , 0.0218166 , -0.2541 , -0.2541 , 0.5082 , -1.23958 , -1.14192 , 2.48556
0.94 , 20 , 18.74 , 0 , 3.92 , 0.0219912 , -0.255556 , -0.255556 , 0.511112 , -1.24406 , -1.14678 , 2.49208
0.96 , 20 , 18.71 , 0 , 4.2 , 0.0225148 , -0.259343 , -0.259343 , 0.518686 , -1.25301 , -1.1556 , 2.50576
0.98 , 20 , 18.89 , 0 , 6.83 , 0.0193732 , -0.238679 , -0.238679 , 0.477357 , -1.2571 , -1.15943 , 2.51087
1 , 20 , 18.95 , 0 , 7.03 , 0.0183259 , -0.231948 , -0.231948 , 0.463897 , -1.26285 , -1.16263 , 2.51675
1.02 , 20 , 19.02 , 0 , 7.21 , 0.0171042 , -0.22404 , -0.22404 , 0.448079 , -1.27014 , -1.16992 , 2.52736
1.04 , 20 , 19.51 , 0 , 8.1 , 0.00855211 , -0.167197 , -0.167197 , 0.334393 , -1.27218 , -1.17298 , 2.52992
