0.02,18.0314,-7.08409,18.0217,16,2.22,3.94
0.04,18.0591,-6.80424,21.8437,16,2.22,4.03
0.06,18.0959,-6.20184,17.9569,-16,2.39,4.61
0.08,17.9616,-6.04347,18.0217,-32,2.35,4.03
0.1,18.0361,-5.47673,16.0135,0,1.97,4.91
0.12,18.4494,-5.3113,20.0298,0,1.97,5.33
0.14,18.4813,-4.96139,18.799,0,2.06,4.71
0.16,18.4219,-4.34531,18.5399,-16,1.98,358.99
0.18,18.531,-4.22674,18.6695,16,1.93,358.38
0.2,18.6085,-3.66248,18.5399,16,1.87,1.76
0.22,18.6945,-3.49001,19.5764,-16,1.88,2.01
0.24,18.7089,-2.89715,20.0946,-16,1.91,357.88
0.26,18.7017,-2.73007,18.9286,-16,1.89,357.88
0.28,18.7428,-2.13182,19.9003,-16,1.86,1.68
0.3,18.7922,-1.98796,19.5116,0,1.87,2.2
0.32,18.7999,-1.36358,18.1512,0,1.92,359.61
0.34,18.766,-1.21889,18.2808,48,1.93,359.26
0.36,18.7703,-0.86815,18.9804,0,1.9,359.42
0.38,18.813,-0.242535,18.3456,-16,0.8,3.7
0.4,19.924,-0.134327,18.5399,-32,0.07,15.25
0.42,20.6634,0.549331,20.289,16,2.04,24.78
0.44,18.7012,0.650905,19.2525,32,2.18,20.65
0.46,18.5675,1.22138,16.9204,32,2.65,6.22
0.48,18.1022,1.36358,16.1431,16,3.2,7.31
0.5,17.5555,1.88472,15.4305,32,4.07,6.51
0.52,16.6874,2.01532,15.6248,32,4.01,4.77
0.54,16.748,2.33248,15.884,16,4.44,2.27
0.56,16.3173,2.78314,15.4953,32,5.97,0.98
0.58,14.7853,2.93778,14.5236,32,6.12,0.78
0.6,14.6323,3.36315,15.0418,32,7.51,0.97
0.62,13.2382,3.49665,12.4506,48,7.79,0.74
0.64,12.9532,3.87019,11.4789,80,9.2,2.21
0.66,11.5372,3.97094,11.2198,32,9.5,2.69
0.68,11.2304,4.30054,11.4142,96,10.87,3.3
0.7,9.85293,4.38553,10.1186,48,11.02,3.46
0.72,9.69478,4.56836,9.85945,64,11.53,3.53
0.74,9.17606,4.85857,9.92423,48,12.76,2.66
0.76,7.93685,4.92159,8.62864,48,12.93,2.32
0.78,7.75723,5.15252,7.91607,80,13.63,2.19
0.8,7.04727,5.19522,6.49091,80,13.79,2.44
0.82,6.87706,5.40251,5.97268,64,14.63,2.32
0.84,6.02665,5.43651,6.49091,32,14.68,2.16
0.86,5.96611,5.6011,5.51922,64,15.21,2
0.88,5.42552,5.64712,5.64878,64,15.42,2.2
0.9,5.20493,5.80591,5.19532,80,15.94,2.5
0.92,4.67439,5.83908,4.80665,64,16.01,2.31
0.94,4.59396,5.97962,4.15885,64,17.01,2.81
0.96,3.58369,6.00657,3.96451,80,17.14,2.86
0.98,3.4436,6.13426,1.89156,96,17.13,2.81
1,3.44375,6.14504,2.21546,64,17.3,2.94
1.02,3.26415,6.21179,5.584,80,18.22,3.02
1.04,2.33483,6.23418,4.22363,48,18.28,2.81
1.06,2.26581,6.28517,0.91987,80,17.6,2.44
1.08,2.9371,6.29056,1.04943,80,17.79,2.68
1.1,2.73871,6.36892,3.64061,64,19.02,3.19
1.12,1.50065,6.3996,2.92804,64,18.67,2.85
1.14,1.8429,6.48169,1.37333,80,18.8,2.68
1.16,1.70546,6.48459,0.336854,80,19.13,2.96
1.18,1.36831,6.48708,0.336854,80,18.54,1.61
1.2,1.95143,6.49537,1.43811,64,18.54,1.51
1.22,1.9448,6.57,1.30855,80,18.85,1.51
1.24,1.6284,6.5729,-0.116603,64,18.57,1.49
1.26,1.90219,6.59239,1.30855,80,19.41,2.56
1.28,1.05612,6.60938,2.99282,64,19.65,2.54
1.3,0.810173,6.64836,0.790311,80,19.26,1.99
1.32,1.19429,6.68608,1.69723,80,19.54,2.83
1.34,0.908438,6.69769,1.82678,64,19.9,3.23
1.36,0.542564,6.70557,0.272074,80,18.91,2.11
1.38,1.52662,6.70557,0.272074,64,19.06,2.18
1.4,1.37055,6.73418,2.66892,64,20.56,3.14
1.42,-0.135683,6.7462,1.56767,64,20.23,2.93
1.44,0.187859,6.75242,0.336854,96,19.45,3.08
1.46,0.961128,6.75864,0.725531,96,19.86,3.31
1.48,0.544077,6.76651,0.272074,64,19.76,2.62
1.5,0.636656,6.76776,0.855091,64,19.42,2.35
1.52,0.968818,6.77729,0.98465,80,20.58,3.67
1.54,-0.199482,6.78061,1.11421,64,20.58,3.73
1.56,-0.208287,6.78683,0.272074,80,19.73,3.12
1.58,0.632365,6.7889,0.466413,80,20.01,3.27
1.6,0.342437,6.79595,0.855091,64,20.55,3.65
1.62,-0.208102,6.79802,0.401633,96,20.31,3.57
1.64,0.0207189,6.8287,1.17899,80,20.8,4.03
1.66,-0.481124,6.84031,0.466413,48,20.89,4.01
1.68,-0.58365,6.84072,-0.246162,32,20.49,3.5
1.7,-0.196873,6.84114,0.207295,80,20.71,3.36
1.72,-0.4308,6.84114,0.207295,64,20.77,3.35
1.74,-0.50544,6.84072,0.142515,48,20.44,3.02
1.76,-0.190785,6.84072,0.207295,48,20.44,3.08
