0.02, 3.19111, 3.37186, -1.21309, 0.00127832, 0.0639159, -16, -0.00140615, -0.015979, 0, 0.00217314, 0.103863, 48, -0.509448, 0.0214153
0.04, 3.40762, 3.50244, -1.27253, 0.00127832, 0.0639159, -16, -0.00140615, 0.203732, 16, 0.00127832, -0.175769, -32, -0.497126, 0.0394523
0.06, 3.62044, 3.6202, -1.33177, 0.00818123, 0.822917, 32, 0.00882039, 0.263653, 16, -0.00856473, -0.355532, -16, -0.512666, 0.0531675
0.08, 3.82837, 3.72422, -1.39088, 0.0190469, 0.942759, 32, 0.0180243, 0.743022, 0, -0.0198139, -0.475374, 16, -0.542788, 0.0657709
0.1, 4.03028, 3.81371, -1.4499, 0.0322136, 0.822917, -32, 0.0324693, 0.723048, 32, -0.0354094, -1.03464, -48, -0.534543, 0.0585642
0.12, 4.22509, 3.88794, -1.5089, 0.0517719, 0.802943, -16, 0.0520275, 1.22239, 32, -0.0518997, -0.894822, 0, -0.513773, 0.0422453
0.14, 4.41184, 3.94632, -1.5679, 0.0736311, 1.34223, -16, 0.0736311, 1.30229, 32, -0.0751651, -0.715059, -48, -0.4973, 0.0312678
0.16, 4.58962, 3.98836, -1.62692, 0.100859, 1.36221, -16, 0.101243, 1.66181, 0, -0.104311, -1.23438, -16, -0.477572, 0.0322265
0.18, 4.75765, 4.01372, -1.68596, 0.131155, 2.12121, -48, 0.130644, 1.68179, 16, -0.134607, -1.71374, 16, -0.486707, 0.0390744
0.2, 4.91522, 4.02214, -1.745, 0.165798, 1.94144, -16, 0.165286, 1.9015, 32, -0.170016, -2.11322, -32, -0.519807, 0.0324234
0.22, 5.06175, 4.01354, -1.80399, 0.204786, 1.80163, 16, 0.204914, 2.18113, 32, -0.206448, -2.03332, 0, -0.543246, 0.0377456
0.24, 5.19675, 3.98796, -1.8629, 0.248761, 1.94144, -32, 0.247227, 2.46076, 0, -0.253235, -2.45277, -32, -0.53777, 0.0393441
0.26, 5.31986, 3.94554, -1.92162, 0.293885, 2.50071, 0, 0.294524, 2.22108, 16, -0.299126, -2.55264, 16, -0.520018, 0.024139
0.28, 5.43079, 3.8866, -1.98006, 0.343995, 2.50071, 0, 0.344634, 2.56063, 0, -0.349108, -2.37288, 0, -0.513608, 0.0327852
0.3, 5.52939, 3.81156, -2.0381, 0.399858, 2.82029, -16, 0.399858, 2.60058, 0, -0.40382, -2.77235, -16, -0.513306, 0.0465388
0.32, 5.6156, 3.72096, -2.09561, 0.458021, 3.09992, -16, 0.458788, 2.82029, 16, -0.463774, -3.03201, -16, -0.533723, 0.0566565
0.34, 5.68946, 3.61545, -2.15242, 0.521681, 2.88021, -16, 0.521042, 2.9601, 16, -0.528712, -2.99206, 16, -0.548931, 0.0561324
0.36, 5.75109, 3.49582, -2.20837, 0.588154, 3.45945, -16, 0.587898, 3.19979, 0, -0.595057, -3.4914, 16, -0.517073, 0.0395014
