0.02, 1.73976, -0.5, -0.5, 0.00153398, 0.443416, 32, -0.000127832, 0.0639159, 16, 0.0024288, 0.0639159, -16, 0.0227173, 0.0133738
0.04, 1.978, -0.5, -0.5, 0.00396278, 0.323574, 16, -0.00204531, -0.755006, -32, -0.00268447, -0.77498, -32, 0.0229295, 0.0135827
0.06, 2.21321, -0.5, -0.5, 0.0130388, 0.503337, 16, -0.0123997, -0.515322, -16, -0.0143172, -0.0359527, -32, 0.0229709, 0.0144264
0.08, 2.44388, -0.5, -0.5, 0.0249272, 0.683101, 32, -0.0263333, -0.655138, 0, -0.0268447, -0.894822, -16, 0.0226974, 0.0143599
0.1, 2.66853, -0.5, -0.5, 0.041801, 1.08257, 16, -0.0423123, -0.954743, -16, -0.0416731, -0.575243, 16, 0.023063, 0.0144432
0.12, 2.88572, -0.5, -0.5, 0.0613592, 1.42213, 0, -0.0631489, -0.914796, -16, -0.063788, -0.854875, 0, 0.0230856, 0.01458
0.14, 3.09406, -0.5, -0.5, 0.0850081, 1.46208, 16, -0.0884596, -1.35422, -16, -0.0885874, -1.75369, -32, 0.0230197, 0.0143261
0.16, 3.2922, -0.5, -0.5, 0.114154, 1.64184, 16, -0.116966, -1.73372, 0, -0.117094, -1.47406, -16, 0.0240864, 0.0141864
0.18, 3.47888, -0.5, -0.5, 0.147134, 1.68179, 48, -0.149819, -1.87353, -16, -0.150074, -1.35422, 16, 0.0238783, 0.013924
0.2, 3.6529, -0.5, -0.5, 0.1851, 1.86155, 0, -0.187273, -2.03332, 0, -0.188807, -1.69377, -32, 0.0233966, 0.0134257
0.22, 3.81314, -0.5, -0.5, 0.223833, 2.50071, 0, -0.228435, -2.37288, -16, -0.229202, -2.09324, 0, 0.0235471, 0.0119785
0.24, 3.95857, -0.5, -0.5, 0.268958, 2.14118, 32, -0.272282, -2.33293, 16, -0.274071, -2.3529, 0, 0.0227522, 0.0115126
0.26, 4.08824, -0.5, -0.5, 0.319068, 2.60058, 16, -0.313955, -1.87353, 0, -0.313443, -1.63385, 16, 0.02237, 0.00994373
0.28, 4.20133, -0.5, -0.5, 0.369434, 3.00005, 16, -0.351282, -1.61388, -16, -0.352943, -1.45409, 0, 0.0209962, 0.00790159
0.3, 4.29709, -0.5, -0.5, 0.427086, 2.70045, 16, -0.383879, -1.63385, 0, -0.384901, -1.63385, -16, 0.0192388, 0.00645816
0.32, 4.37493, -0.5, -0.5, 0.487934, 2.98008, 16, -0.413152, -1.25435, 0, -0.412385, -1.41414, -16, 0.019085, 0.00431071
