0.02, 11.1207, 10.9307, 0, 0.111939, 13.6814, 16, 0.16, 206.62
0.04, 11.6869, 11.5269, -0.03, 0.406298, 11.9324, 0, 1.84, 205.22
0.06, 12.2383, 10.3983, 1.65, 0.565914, 9.92423, 16, 2.34, 211.74
0.08, 12.7736, 10.4336, 2.15, 0.783159, 10.0927, -16, 0.11, 52.09
0.1, 13.2915, 13.1815, -0.08, 1.01035, 11.6733, 0, 1.33, 204.77
0.12, 13.7906, 12.4606, 1.14, 1.25579, 11.3494, 16, 0.3, 264.53
0.14, 14.2697, 13.9697, 0.11, 1.50828, 14.0701, 16, 0.72, 60.46
0.16, 14.728, 14.008, 0.53, 1.78937, 13.3576, 16, 1.36, 27.95
0.18, 15.1643, 13.8043, 1.17, 1.97801, 13.0337, 16, 1.92, 26.4
0.2, 15.5779, 13.6579, 1.73, 2.26241, 12.645, 16, 2.79, 29.36
0.22, 15.968, 13.178, 2.6, 2.4639, 11.8028, 48, 3.16, 24.05
0.24, 16.334, 13.174, 2.97, 2.71556, 12.9689, 16, 3.23, 18.98
0.26, 16.6754, 13.4454, 3.04, 2.93819, 11.4789, 80, 3.94, 21.72
0.28, 16.9919, 13.0519, 3.75, 3.18944, 15.4305, 48, 3.52, 16.32
0.3, 17.2832, 13.7632, 3.33, 3.49665, 13.7462, 80, 3.73, 354.97
0.32, 17.5491, 13.8191, 3.54, 3.76489, 13.1632, 64, 5.34, 26.1
0.34, 17.7897, 12.4497, 5.15, 4.0153, 11.2198, 48, 5.46, 11.62
0.36, 18.0049, 12.5449, 5.27, 4.25576, 12.2563, 32, 7.07, 13.4
0.38, 18.195, 11.125, 6.88, 4.44398, 9.92423, 32, 6.64, 13.24
0.4, 18.3604, 11.7204, 6.45, 4.70435, 10.9607, 32, 8.07, 7.68
0.42, 18.5013, 10.4313, 7.88, 4.89008, 10.8959, 32, 8.15, 8.14
0.44, 18.6183, 10.4683, 7.96, 5.08079, 10.1186, 64, 8.87, 4.16
0.46, 18.7121, 9.8421, 8.68, 5.25782, 7.91607, 96, 9.61, 2.71
0.48, 18.7833, 9.17328, 9.42, 5.40707, 8.82298, 64, 9.7, 2.08
0.5, 18.8326, 9.13265, 9.51, 5.57954, 8.49908, 48, 10.68, 1.85
0.52, 18.8611, 8.18106, 10.49, 5.72797, 6.42614, 64, 10.45, 359.84
0.54, 18.8694, 8.41945, 10.26, 5.88385, 7.91607, 80, 11.94, 2.15
0.56, 18.8588, 6.91879, 11.75, 6.02647, 6.36136, 64, 12.01, 0.31
0.58, 18.8301, 6.82014, 11.82, 6.16329, 7.07393, 96, 12.32, 357.95
0.6, 18.7846, 6.46459, 12.13, 6.29388, 5.2601, 64, 13.59, 359.09
0.62, 18.7233, 5.13327, 13.4, 6.36229, 3.64061, 96, 14.97, 5.58
0.64, 18.6474, 3.67735, 14.78, 6.43401, 0.142515, 96, 13.81, 355.32
0.66, 18.558, 4.74803, 13.62, 6.44396, 2.28024, 64, 15.34, 0.8
0.68, 18.4565, 3.11651, 15.15, 6.5161, 4.28841, 64, 14.79, 358.25
0.7, 18.344, 3.55401, 14.6, 6.58907, 3.12238, 80, 15.26, 358.59
0.72, 18.2218, 2.96176, 15.07, 6.64297, 3.89973, 80, 15.51, 0.13
0.74, 18.091, 2.58096, 15.32, 6.71096, 1.95634, 96, 15.63, 358.41
0.76, 17.9528, 2.32281, 15.44, 6.7549, 3.96451, 80, 15.82, 0.64
0.78, 17.8085, 1.98848, 15.63, 6.81626, 0.595972, 64, 15.88, 358.85
0.8, 17.6591, 1.77912, 15.69, 6.8515, 3.57583, 64, 15.78, 359.25
0.82, 17.5058, 1.72584, 15.59, 6.89752, 1.63245, 80, 16.4, 359.37
0.84, 17.3497, 0.949698, 16.21, 6.90333, 0.466413, 80, 16.17, 359.38
0.86, 17.1917, 1.02171, 15.98, 6.90872, 1.04943, 64, 16.95, 0.6
0.88, 17.0328, 0.0828261, 16.76, 6.91245, 0.336854, 64, 16.85, 0.25
0.9, 16.874, 0.023952, 16.66, 6.91618, 0.336854, 80, 17, 1.52
0.92, 16.7159, -0.284086, 16.81, 6.91784, 0.207295, 80, 17.25, 1.86
0.94, 16.5595, -0.690528, 17.06, 6.91825, 0.207295, 80, 16.92, 1.67
0.96, 16.4053, -0.514691, 16.73, 6.91867, 0.207295, 80, 17.04, 1.55
0.98, 16.254, -0.785966, 16.85, 6.91867, 0.207295, 80, 16.9, 1.38
1, 16.1062, -0.793824, 16.71, 6.91867, 0.207295, 48, 16.89, 1.48
1.02, 15.9622, -0.927824, 16.7, 6.91867, 0.207295, 64, 16.95, 1.31
1.04, 15.8224, -1.12761, 16.76, 6.91867, 0.207295, 64, 16.95, 1.31
1.06, 15.6871, -1.26289, 16.76, 6.91867, 0.207295, 64, 16.92, 1.55
1.08, 15.5565, -1.36349, 16.73, 6.91825, 0.142515, 64, 17.22, 2.07
1.1, 15.4307, -1.7893, 17.03, 6.91825, 0.142515, 32, 17.24, 2.19
1.12, 15.3097, -1.9303, 17.05, 6.91659, 0.142515, 48, 17.41, 2.45
1.14, 15.1935, -2.21654, 17.22, 6.91494, -0.505281, 0, 17.4, 2.42
1.16, 15.0818, -2.31817, 17.21, 6.87638, -2.70779, 16, 17.46, 2.78
1.18, 14.9746, -2.4854, 17.27, 6.86062, -1.4122, 48, 17.48, 2.81
1.2, 14.8715, -2.60853, 17.29, 6.79719, -2.38389, 0, 17.24, 2.27
1.22, 14.7721, -2.46792, 17.05, 6.77356, -3.09646, 32, 17.15, 2.24
1.24, 14.676, -2.47398, 16.96, 6.74164, -2.12477, 16, 17.19, 2.09
1.26, 14.5828, -2.60722, 17, 6.6666, -1.54175, 16, 16.93, 1.93
1.28, 14.4918, -2.43816, 16.74, 6.63136, -2.64301, 0, 17.02, 2.07
1.3, 14.4026, -2.61741, 16.83, 6.54098, -2.90213, 16, 16.85, 2.2
1.32, 14.3144, -2.53561, 16.66, 6.51942, -2.44867, 0, 16.81, 2.19
1.34, 14.2266, -2.58341, 16.62, 6.42157, -2.90213, 16, 16.76, 2.06
1.36, 14.1385, -2.62155, 16.57, 6.40002, -2.12477, 16, 16.79, 2.1
1.38, 14.0493, -2.74073, 16.6, 6.34405, -1.86565, -16, 16.76, 2.27
1.4, 13.9583, -2.80172, 16.57, 6.24247, -2.64301, 16, 16.58, 2.7
1.42, 13.8647, -2.71526, 16.39, 6.22008, -2.70779, 16, 16.56, 2.74
1.44, 13.7679, -2.79212, 16.37, 6.17116, -3.16124, -16, 16.44, 2.98
1.46, 13.6669, -2.77306, 16.25, 6.08327, -2.83735, 16, 16.13, 2.61
1.48, 13.5612, -2.56883, 15.94, 6.05881, -1.68427, 0, 16.07, 2.76
1.5, 13.4499, -2.62015, 15.88, 5.9817, -2.25433, 0, 15.73, 2.41
1.52, 13.3323, -2.39773, 15.54, 5.96221, -2.18955, 16, 15.72, 2.5
1.54, 13.2078, -2.51223, 15.53, 5.86976, -3.03168, 16, 15.53, 2.71
1.56, 13.0757, -2.4543, 15.34, 5.84778, -2.12477, 0, 15.51, 2.62
1.58, 12.9355, -2.57453, 15.32, 5.79472, -2.51345, 16, 15.35, 2.2
1.6, 12.7866, -2.56344, 15.16, 5.69812, -2.38389, 16, 14.96, 1.59
1.62, 12.6285, -2.33153, 14.77, 5.67241, -3.54992, 0, 14.94, 1.63
1.64, 12.4608, -2.47922, 14.75, 5.61644, -1.0883, 0, 14.98, 1.88
1.66, 12.2831, -2.69687, 14.79, 5.54928, -3.09646, 16, 14.42, 0.76
1.68, 12.0952, -2.32476, 14.23, 5.52482, -3.03168, 32, 14.37, 0.63
1.7, 11.8969, -2.47309, 14.18, 5.43154, -3.35558, 16, 14.42, 1.14
1.72, 11.688, -2.73202, 14.23, 5.41827, -2.83735, 32, 14.31, 1.28
1.74, 11.4684, -2.84159, 14.12, 5.35691, -1.99521, 16, 14.01, 0.93
1.76, 11.2382, -2.77177, 13.82, 5.26321, -2.38389, 0, 13.78, 0.26
